age,housing,loan,contact,balance,job,month,campaign,pdays,poutcome,open_deposit
26,no,no,cellular,1099,admin.,jan,2,225,other,yes
26,yes,no,cellular,3730,admin.,mar,1,98,other,yes
26,yes,no,cellular,141,admin.,may,4,349,other,no
28,no,no,cellular,330,admin.,dec,1,188,other,yes
29,yes,no,unknown,1070,admin.,may,1,357,other,no
30,yes,no,cellular,127,admin.,may,6,368,other,no
30,no,no,cellular,2568,admin.,sep,1,100,other,yes
31,yes,no,cellular,81,admin.,apr,2,165,other,no
31,yes,no,cellular,-422,admin.,may,2,329,other,no
31,yes,no,cellular,368,admin.,may,5,361,other,no
32,yes,no,cellular,56,admin.,feb,1,258,other,no
32,yes,yes,cellular,51,admin.,jan,1,87,other,no
32,no,no,telephone,291,admin.,jan,6,275,other,no
32,no,no,cellular,-32,admin.,jan,1,185,other,no
32,no,no,cellular,995,admin.,sep,1,99,other,yes
34,yes,no,cellular,1352,admin.,apr,1,334,other,no
34,yes,no,cellular,151,admin.,may,1,370,other,no
34,yes,no,telephone,124,admin.,may,4,366,other,no
35,no,no,cellular,321,admin.,jul,1,412,other,yes
35,yes,no,cellular,1286,admin.,may,3,337,other,no
36,yes,no,cellular,10041,admin.,nov,2,184,other,yes
37,no,no,cellular,3221,admin.,jun,2,376,other,yes
37,yes,no,cellular,912,admin.,may,3,328,other,no
37,yes,no,cellular,529,admin.,sep,1,149,other,yes
40,yes,no,cellular,355,admin.,apr,2,138,other,no
41,yes,no,cellular,1076,admin.,jun,2,391,other,yes
42,yes,yes,telephone,-247,admin.,oct,1,166,other,yes
43,yes,no,cellular,1707,admin.,sep,3,504,other,yes
44,no,no,cellular,10905,admin.,aug,2,271,other,yes
44,yes,no,cellular,497,admin.,feb,3,270,other,no
44,yes,yes,cellular,397,admin.,feb,1,257,other,no
45,yes,no,cellular,2353,admin.,mar,1,107,other,yes
45,yes,yes,cellular,-106,admin.,may,3,288,other,no
46,yes,no,cellular,469,admin.,feb,1,264,other,no
46,yes,no,cellular,-522,admin.,mar,3,239,other,yes
47,no,no,cellular,3676,admin.,jul,2,342,other,yes
47,yes,no,telephone,3957,admin.,may,3,334,other,no
47,no,no,cellular,0,admin.,nov,1,190,other,no
47,yes,no,cellular,1693,admin.,oct,2,92,other,yes
48,no,no,cellular,1180,admin.,jan,1,238,other,no
50,yes,no,cellular,10250,admin.,dec,3,385,other,yes
51,no,no,cellular,3025,admin.,may,1,352,other,yes
52,yes,no,telephone,872,admin.,may,6,335,other,no
54,no,no,cellular,1693,admin.,apr,1,87,other,yes
56,yes,yes,cellular,1554,admin.,feb,6,190,other,no
57,yes,no,cellular,403,admin.,may,1,340,other,no
58,yes,no,cellular,4348,admin.,jun,4,141,other,yes
60,no,no,cellular,473,admin.,feb,2,8,other,yes
23,yes,no,cellular,897,admin.,feb,2,280,failure,yes
24,yes,no,cellular,299,admin.,may,1,321,failure,no
25,yes,no,cellular,760,admin.,may,3,89,failure,yes
25,yes,no,cellular,1141,admin.,may,1,347,failure,no
25,yes,no,cellular,507,admin.,may,1,367,failure,no
25,no,no,cellular,1185,admin.,oct,1,114,failure,yes
26,no,no,cellular,96,admin.,aug,1,70,failure,yes
26,no,no,cellular,1595,admin.,jun,1,105,failure,yes
26,no,no,cellular,96,admin.,may,1,345,failure,yes
27,no,no,cellular,689,admin.,jan,1,307,failure,no
27,no,no,cellular,2855,admin.,jan,1,301,failure,yes
27,no,no,cellular,125,admin.,jul,1,288,failure,yes
27,yes,no,cellular,4590,admin.,nov,4,89,failure,yes
28,yes,yes,cellular,174,admin.,feb,1,184,failure,no
28,no,no,telephone,832,admin.,mar,3,342,failure,yes
29,yes,no,cellular,7707,admin.,apr,2,334,failure,yes
29,yes,no,cellular,260,admin.,feb,2,273,failure,no
29,yes,no,cellular,-498,admin.,feb,3,227,failure,no
29,no,no,cellular,238,admin.,may,2,88,failure,yes
29,yes,no,cellular,265,admin.,nov,1,184,failure,no
30,yes,no,cellular,26,admin.,apr,1,323,failure,no
30,yes,no,cellular,315,admin.,may,3,346,failure,no
30,yes,no,cellular,396,admin.,may,3,348,failure,no
30,no,no,cellular,873,admin.,oct,1,216,failure,yes
30,yes,no,cellular,914,admin.,oct,3,272,failure,yes
31,no,yes,cellular,383,admin.,feb,1,214,failure,no
31,no,no,cellular,690,admin.,may,4,87,failure,yes
31,yes,no,cellular,685,admin.,may,1,329,failure,no
31,yes,yes,cellular,728,admin.,may,1,352,failure,no
31,yes,no,cellular,0,admin.,may,2,295,failure,no
32,no,no,cellular,620,admin.,apr,2,343,failure,yes
32,yes,no,cellular,1661,admin.,feb,1,209,failure,no
32,yes,no,cellular,6981,admin.,jun,1,194,failure,yes
32,yes,no,cellular,752,admin.,may,2,166,failure,no
32,no,no,cellular,337,admin.,may,3,368,failure,yes
32,yes,no,cellular,4344,admin.,nov,2,118,failure,yes
32,no,no,cellular,200,admin.,sep,1,29,failure,yes
33,yes,no,cellular,572,admin.,apr,1,74,failure,no
33,yes,no,cellular,7,admin.,apr,1,148,failure,no
33,no,no,cellular,882,admin.,apr,1,183,failure,yes
33,yes,no,cellular,272,admin.,jun,1,237,failure,yes
33,yes,no,cellular,17,admin.,may,1,351,failure,no
33,no,no,cellular,920,admin.,nov,1,95,failure,yes
34,yes,no,cellular,1467,admin.,apr,1,332,failure,no
34,yes,no,cellular,598,admin.,apr,1,324,failure,no
34,yes,no,cellular,661,admin.,aug,2,183,failure,no
34,no,yes,cellular,21,admin.,jun,1,92,failure,yes
34,no,no,cellular,303,admin.,jun,3,126,failure,yes
34,yes,no,cellular,479,admin.,may,1,350,failure,no
34,yes,no,cellular,140,admin.,may,2,365,failure,no
34,yes,no,unknown,899,admin.,nov,1,170,failure,yes
34,yes,no,cellular,2374,admin.,nov,1,209,failure,no
34,yes,no,cellular,35,admin.,oct,1,69,failure,yes
34,yes,yes,cellular,1636,admin.,sep,1,521,failure,yes
35,no,yes,cellular,-32,admin.,feb,4,182,failure,no
35,no,no,cellular,534,admin.,may,1,312,failure,yes
35,yes,no,cellular,181,admin.,may,4,301,failure,no
35,yes,no,cellular,725,admin.,nov,7,133,failure,no
36,no,yes,cellular,364,admin.,aug,1,123,failure,no
36,no,no,cellular,4708,admin.,dec,1,171,failure,yes
36,no,no,cellular,980,admin.,jul,3,179,failure,yes
36,yes,no,cellular,148,admin.,may,4,374,failure,yes
36,no,no,cellular,115,admin.,may,3,91,failure,yes
36,yes,yes,cellular,1954,admin.,nov,2,174,failure,no
36,no,no,cellular,592,admin.,oct,2,99,failure,yes
37,yes,no,cellular,3954,admin.,aug,1,117,failure,yes
37,yes,no,cellular,1314,admin.,feb,4,210,failure,no
37,yes,no,cellular,22,admin.,may,2,289,failure,no
37,yes,no,cellular,1314,admin.,may,1,14,failure,no
38,yes,no,cellular,3834,admin.,apr,2,327,failure,no
38,no,no,cellular,11303,admin.,dec,2,216,failure,yes
38,no,no,cellular,262,admin.,feb,2,180,failure,yes
38,no,no,cellular,1988,admin.,mar,2,130,failure,yes
39,yes,no,cellular,260,admin.,aug,2,116,failure,no
39,no,no,cellular,0,admin.,jan,1,436,failure,yes
39,yes,no,cellular,3047,admin.,may,1,370,failure,yes
39,yes,no,cellular,607,admin.,may,2,364,failure,no
39,yes,no,cellular,2345,admin.,may,2,344,failure,no
40,yes,no,cellular,782,admin.,dec,5,202,failure,yes
40,yes,no,cellular,0,admin.,feb,1,201,failure,no
40,yes,no,cellular,985,admin.,jun,3,50,failure,yes
40,yes,yes,cellular,419,admin.,may,1,369,failure,no
40,no,yes,cellular,67,admin.,nov,2,152,failure,no
40,yes,no,cellular,877,admin.,nov,3,177,failure,no
41,no,no,cellular,1536,admin.,aug,1,95,failure,yes
41,yes,no,cellular,2550,admin.,may,2,347,failure,no
41,yes,no,cellular,90,admin.,may,2,347,failure,no
41,yes,yes,cellular,1395,admin.,may,1,308,failure,no
41,yes,no,cellular,2002,admin.,may,2,350,failure,no
41,yes,no,telephone,1,admin.,may,2,361,failure,no
41,yes,no,cellular,1967,admin.,may,1,341,failure,no
42,yes,no,cellular,437,admin.,aug,3,190,failure,no
42,yes,no,cellular,30,admin.,feb,1,266,failure,no
43,yes,yes,cellular,-247,admin.,feb,2,76,failure,no
44,yes,yes,cellular,985,admin.,may,7,325,failure,no
44,yes,no,cellular,777,admin.,may,3,350,failure,no
45,yes,yes,cellular,1097,admin.,feb,1,208,failure,no
45,no,no,telephone,1206,admin.,feb,1,446,failure,yes
45,yes,no,cellular,1214,admin.,feb,2,189,failure,no
45,no,no,cellular,2552,admin.,jun,1,293,failure,yes
45,no,yes,unknown,375,admin.,sep,1,594,failure,no
46,yes,yes,cellular,0,admin.,apr,2,259,failure,no
46,yes,yes,cellular,875,admin.,may,3,353,failure,no
46,yes,yes,cellular,171,admin.,oct,1,430,failure,yes
47,yes,yes,cellular,829,admin.,nov,1,188,failure,no
47,no,no,cellular,1210,admin.,oct,1,91,failure,yes
48,yes,no,cellular,1060,admin.,apr,2,318,failure,no
48,yes,no,telephone,1544,admin.,jun,1,450,failure,yes
48,yes,no,cellular,0,admin.,may,1,168,failure,no
48,yes,no,cellular,-407,admin.,may,2,352,failure,no
49,yes,no,cellular,1096,admin.,apr,1,303,failure,no
49,yes,no,cellular,197,admin.,apr,1,182,failure,no
50,yes,no,cellular,2405,admin.,may,1,287,failure,no
51,no,no,cellular,176,admin.,jan,1,183,failure,no
52,no,no,cellular,722,admin.,oct,2,185,failure,yes
52,yes,yes,cellular,423,admin.,oct,2,96,failure,yes
53,yes,yes,cellular,0,admin.,aug,1,98,failure,no
53,no,no,telephone,1796,admin.,dec,1,193,failure,yes
54,no,no,telephone,140,admin.,apr,2,182,failure,yes
54,no,no,cellular,0,admin.,jan,1,98,failure,no
55,no,no,cellular,1872,admin.,aug,2,93,failure,yes
55,yes,no,cellular,865,admin.,jul,1,82,failure,no
56,yes,no,cellular,0,admin.,apr,2,227,failure,no
56,yes,no,telephone,1854,admin.,may,1,342,failure,no
56,no,no,cellular,1693,admin.,oct,4,442,failure,yes
57,yes,no,cellular,6005,admin.,may,1,323,failure,no
58,yes,no,cellular,0,admin.,nov,1,186,failure,no
58,yes,no,telephone,3337,admin.,oct,2,690,failure,yes
59,no,no,cellular,3735,admin.,mar,4,121,failure,yes
59,yes,no,cellular,92,admin.,may,2,350,failure,no
60,yes,yes,cellular,-41,admin.,feb,1,262,failure,no
60,no,no,cellular,478,admin.,jul,2,311,failure,yes
60,yes,no,cellular,-396,admin.,may,1,350,failure,no
72,no,no,cellular,2321,admin.,sep,2,64,failure,yes
25,no,yes,cellular,483,admin.,apr,1,86,success,yes
25,no,no,cellular,1871,admin.,sep,1,96,success,yes
26,no,no,cellular,255,admin.,apr,1,80,success,yes
26,no,no,cellular,255,admin.,aug,2,106,success,yes
26,no,yes,cellular,313,admin.,jun,1,96,success,yes
26,no,no,cellular,2509,admin.,may,3,97,success,yes
27,no,no,cellular,1595,admin.,dec,2,197,success,yes
27,no,no,cellular,3415,admin.,oct,3,184,success,yes
28,no,no,cellular,330,admin.,jun,2,182,success,yes
28,no,no,telephone,4745,admin.,may,1,181,success,yes
28,yes,yes,cellular,261,admin.,sep,2,98,success,yes
29,no,no,cellular,464,admin.,nov,2,91,success,yes
30,no,no,cellular,270,admin.,apr,1,80,success,yes
30,no,no,cellular,305,admin.,apr,1,85,success,yes
30,no,yes,cellular,523,admin.,jun,3,101,success,yes
30,yes,no,cellular,265,admin.,may,1,181,success,yes
31,yes,no,cellular,8781,admin.,may,1,177,success,yes
31,no,no,cellular,410,admin.,oct,1,185,success,yes
32,no,no,cellular,35,admin.,dec,3,126,success,yes
32,yes,no,cellular,131,admin.,dec,1,189,success,yes
32,yes,no,cellular,131,admin.,jun,1,183,success,yes
33,no,no,cellular,920,admin.,aug,1,105,success,yes
33,yes,yes,cellular,51,admin.,oct,1,284,success,yes
33,no,no,cellular,146,admin.,oct,1,91,success,yes
33,yes,no,cellular,272,admin.,sep,2,92,success,yes
34,yes,no,cellular,1406,admin.,aug,2,85,success,yes
34,yes,no,cellular,79,admin.,aug,1,92,success,yes
34,yes,no,cellular,2374,admin.,feb,2,92,success,yes
34,no,no,cellular,0,admin.,jul,1,183,success,yes
34,no,no,cellular,920,admin.,may,3,179,success,yes
35,no,yes,cellular,-32,admin.,aug,2,178,success,yes
35,yes,no,cellular,2374,admin.,aug,2,183,success,yes
36,no,no,cellular,994,admin.,aug,2,105,success,yes
36,yes,no,cellular,437,admin.,may,2,344,success,yes
36,no,no,cellular,994,admin.,may,1,90,success,yes
36,yes,no,cellular,1224,admin.,nov,1,374,success,yes
37,yes,no,telephone,1207,admin.,apr,2,138,success,yes
37,yes,no,cellular,0,admin.,dec,1,190,success,yes
37,no,no,cellular,96,admin.,feb,1,182,success,yes
37,no,no,cellular,4708,admin.,jun,1,181,success,yes
37,yes,no,cellular,1000,admin.,jun,1,90,success,yes
38,yes,no,cellular,1767,admin.,jul,4,239,success,yes
38,yes,no,cellular,0,admin.,jun,1,181,success,yes
38,no,no,cellular,1988,admin.,jun,1,67,success,yes
38,yes,no,cellular,0,admin.,sep,1,92,success,yes
39,yes,no,cellular,19,admin.,jul,2,147,success,yes
39,yes,no,cellular,260,admin.,nov,1,94,success,yes
40,yes,no,cellular,100,admin.,aug,1,461,success,yes
40,yes,no,cellular,260,admin.,may,1,181,success,yes
40,no,no,cellular,732,admin.,sep,1,139,success,yes
41,yes,no,cellular,985,admin.,jun,2,391,success,yes
42,yes,no,cellular,-306,admin.,aug,1,459,success,yes
42,no,yes,cellular,527,admin.,oct,1,185,success,yes
43,no,no,cellular,132,admin.,aug,1,84,success,yes
43,yes,no,cellular,733,admin.,aug,1,88,success,yes
43,yes,no,cellular,733,admin.,may,1,187,success,yes
43,no,no,cellular,132,admin.,may,2,71,success,yes
44,yes,no,cellular,733,admin.,dec,2,105,success,yes
45,no,no,cellular,205,admin.,aug,1,92,success,yes
45,no,no,cellular,205,admin.,feb,1,92,success,yes
45,no,no,cellular,205,admin.,may,1,90,success,yes
46,no,no,cellular,5511,admin.,jul,2,389,success,yes
46,no,no,cellular,974,admin.,jun,2,80,success,yes
47,yes,no,cellular,70,admin.,apr,4,374,success,yes
